sl.no.,brand,name,reviews date added,reviews do recommend,reviews num helpful,reviews rating,reviews,reviews ritle,reight
1246,Bittermens,Bittermens Xocolatl Mole Cocktail Bitters - 5 oz,2017-08-05T04:29:00Z,,,5,adds great flavor to any beverage. I suggest trying it with vodka or gin. Looking forward to using it in a drink with dark liqueur.,Great!,13.6 ounces
1247,Bittermens,Bittermens Xocolatl Mole Cocktail Bitters - 5 oz,2017-08-05T04:29:00Z,,,5,"So the Habanero Bitters are great in a version of a Margarita we do that traditionally used tabasco. I like this at least as much and you don't get any of the vinegar flavor one does from Tabasco.Also, LOVE the tiki bitters and a bitter monk is my new favorite cocktail just because I get to use this in it.Great stuff.",Amazing stuff,13.6 ounces
1248,Bittermens,Bittermens Xocolatl Mole Cocktail Bitters - 5 oz,2017-08-05T04:29:00Z,,,4,"These bitters are great and the dropper bottle is an easy way to use th estuff in all kinds of cocktails. My only complaint was that the Boston Bitahs leaked in transit, so the entire box smelled (great) and I only have about 25 of the bottle remaining. Still, that was one bottle out of an order of 12 so I'm not complaining.",Just wish it hadn't spilled in shipping,13.6 ounces
1249,Bittermens,Bittermens Xocolatl Mole Cocktail Bitters - 5 oz,2017-08-05T04:29:00Z,,,5,"I use these in all kinds of tiki drinks and they are really great - they have lots of warm spice notes and lend an exotic flavor to rum based drinks. I would say there is a strong nutmeg note here which can put some folks off, but I'm a huge fan personally. It's tough to find bitters that work in tiki drinks beyond Angostura, so this is a great addition to the bar for people that make a lot of tropical themed cocktails.",Fantastic Bitters,13.6 ounces
1250,Bittermens,Bittermens Xocolatl Mole Cocktail Bitters - 5 oz,2017-08-05T04:29:00Z,,,5,"I was at the Kentucky bourbon mixology competition recently and all the bartenders were making spicy flavored drinks. I looked all around for this stuff and finely ordered it here.My first cocktail was great:2 oz. Rye Whiskey (or bourbon)0.5 oz. Simple Syrup1 Lemon Twist2 Dashes of Peychaud's Bitters30 Drops of Bittermens Habanero Bitters (Start with 20 and increase from there, it gets hot!)Serve it on ice",Goes a long way!,13.6 ounces
1251,Bittermens,Bittermens Xocolatl Mole Cocktail Bitters - 5 oz,2017-08-05T04:29:00Z,,,5,"This was out of stock almost everywhere and I nabbed the last one on Amazon. It was part of a gift for my boyfriend for his new bar set, the something extra after the staples of Regan's, Angostura, and Peychauds, and the smallest and most expensive bottle of the group. It has been worth every penny -- complex, flavorful, rich, not overly sweet, a real winner. The Bittermens website has some wonderful recipes, but we have been most enjoying it so far with a large rock, 2 shots, a dash of Regan's, 7 drops or so of this one and a splash each of lemon and soda water.",Amazing,13.6 ounces
1252,Bittermens,Bittermens Xocolatl Mole Cocktail Bitters - 5 oz,2017-08-05T04:29:00Z,,,4,This will spice up your average cocktail and turn it into a signature cocktail. I bet you'll enjoy it too!,Not your grandfather's Bitters,13.6 ounces
1253,Bittermens,Bittermens Xocolatl Mole Cocktail Bitters - 5 oz,2017-08-05T04:29:00Z,,,5,"Subtle and slow building.Great with Citrus and flavorful bases, like anejo tequila, gin, or golden rum.Bittermens makes some of the most unique bitters.",For some burn in your booze,13.6 ounces
1254,Bittermens,Bittermens Xocolatl Mole Cocktail Bitters - 5 oz,2017-08-05T04:29:00Z,,,5,"I mentioned to the bar tender that the secret ingredient in a Mojito was a couple of drops of bitters. He did not have the Angostura bitters so we tried the Bittermens Hopped Grapefruit Bitters. All I can say is Ay, caramba!The bitters gave the Mojito a very refreshing taste!",Delicious in a Mojito,13.6 ounces
1255,Bittermens,Bittermens Xocolatl Mole Cocktail Bitters - 5 oz,2017-08-05T04:29:00Z,,,5,This flavor of bitters is quite unique! There is a subtle warmth and profound chocolate flavor that is haunting. We like it in a tequila-based coffee liqueur. Add half a shot of good scotch and you have a drink worthy of the finest company you know...,Exquisite taste sensation!,13.6 ounces
1256,Bittermens,Bittermens Xocolatl Mole Cocktail Bitters - 5 oz,2017-08-05T04:29:00Z,,,5,"For any Tikiphile out there, these are a great addition to any tropical drink recipes. I substitute them in place of Angostura bitters in Zombies, Rum Barrels and 151 Swizzles. They may be a bit niche in their application, but it's a wonderful product nonetheless.",Bitters complimentary to Tropical drinks,13.6 ounces
1257,Margaritaville,"Margaritaville Margarita Mix, 59.2 oz ()",2017-09-06T04:49:45Z,TRUE,2,4,One of the best tasting mix!,Margaritaville margarita mix,
1258,Master of Mixes,"Master of Mixes Bloody Mary Mixer, 5 Pepper Extra Spicy, 1.75 Lt",2017-08-05T04:36:36Z,,,5,This is by far the best spicy mix on the market. You can almost eat it.,Feel the heat,4.7 pounds
1259,Gmax,Gmax g144105 gm44 full face red wine m,2017-01-09T22:25:24Z,,,3,"Good product selection, priced right, had delivery issues",,
1260,Gmax,Gmax g144105 gm44 full face red wine m,2017-01-09T22:25:24Z,,,4,good,,
1261,Gmax,Gmax g144105 gm44 full face red wine m,2017-01-09T22:25:24Z,,,5,Thanks,,
1262,Gmax,Gmax g144105 gm44 full face red wine m,2017-01-09T22:25:24Z,,,5,"Excellent prices, but after a week and a half of hearing nothing I called to find out that my item, the customer service rep said it had been back ordered and I would receive an email once it shipped...my item arrived the next day and I received the shipping email four days later, no big deal just takes a while to get items, but you cannot beat the prices!",,
1263,Gmax,Gmax g144105 gm44 full face red wine m,2017-01-09T22:25:24Z,,,5,easy to find item I wanted and at a good price.,,
1264,Gmax,Gmax g144105 gm44 full face red wine m,2017-01-09T22:25:24Z,,,4,easy process,,
1265,Gmax,Gmax g144105 gm44 full face red wine m,2017-01-09T22:25:24Z,,,4,Really Good. The right battery for my motorcycle.,,
1266,Gmax,Gmax g144105 gm44 full face red wine m,2017-01-09T22:25:24Z,,,4,"Fast service and great prices. knowledgable sales persons, Hugh in stock items. Packing was excellent, doubled boxed.",,
1267,Gmax,Gmax g144105 gm44 full face red wine m,2017-01-09T22:25:24Z,,,5,Easy to navigate website and easy to order process,,
1268,Gmax,Gmax g144105 gm44 full face red wine m,2017-01-09T22:25:24Z,,,5,great job,,
1269,Gmax,Gmax g144105 gm44 full face red wine m,2017-01-09T22:25:24Z,,,5,Very easy and convenient,,
1270,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-09-06T04:49:34Z,TRUE,1,5,"I purchased for an Island Oasis machine, these work perfectly and taste great.",Great Price,
1271,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-09-06T04:49:34Z,FALSE,1,3,I love Mango everything! I don't like pure sugar! This is so very thick sweet even if I try it in a frozen Margarita. I am sticking with the citrus one.,A little too thick sweet,
1272,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-09-06T04:49:34Z,TRUE,1,5,It was so tasty. The bottle was gone way too early!,Mango,
1273,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-09-06T04:49:34Z,TRUE,0,5,Love the taste and texture. Taste great mixed with the watermelon as well.,Makes great mixed drinks.,
1274,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-09-06T04:49:34Z,TRUE,1,4,I love this flavor of mixer. My Granddaughter even loves the smoothies I make for her. I mix fruit juice and mango daiquir mixer with ice . Excellent summer drink. Really hope Walmart continues to sell this product. Easy to order and fast delivery m,Mango Daiquiris Mix,
1275,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-09-06T04:49:34Z,TRUE,0,5,Mix this with ice tequila and lime than once serve top it of with chamoy,Yymmy,
1276,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-09-06T04:49:34Z,TRUE,0,5,My sister and I really enjoyed the flavor of this mix. It was truly like biting into a mango.,Mango maddness,
1277,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-09-06T04:49:34Z,TRUE,0,4,Taste delicious. I even mixed with the ststrawberry.,Very good,
1278,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-09-06T04:49:34Z,TRUE,0,5,"Follow directions, no more , no less. Perfect",Yummy,
1279,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-09-06T04:49:34Z,TRUE,0,3,A little thick but taste great!!,Mom,
1280,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-01-16T19:33:48Z,TRUE,,,"I purchased for an Island Oasis machine, these work perfectly and taste great.",Great Price,
1281,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-01-16T19:33:48Z,TRUE,,,A little thick but taste great!!,Mom,
1282,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-01-16T19:33:48Z,TRUE,,,I love this flavor of mixer. My Granddaughter even loves the smoothies I make for her. I mix fruit juice and mango daiquir mixer with ice . Excellent summer drink. Really hope Walmart continues to sell this product. Easy to order and fast delivery m,Mango Daiquiris Mix,
1283,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-01-16T19:33:48Z,TRUE,,,My sister and I really enjoyed the flavor of this mix. It was truly like biting into a mango.,Mango maddness,
1284,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-01-16T19:33:48Z,TRUE,,,Love the taste and texture. Taste great mixed with the watermelon as well.,Makes great mixed drinks.,
1285,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-01-16T19:33:48Z,TRUE,,,Mix this with ice tequila and lime than once serve top it of with chamoy,Yymmy,
1286,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-01-16T19:33:48Z,FALSE,,,I love Mango everything! I don't like pure sugar! This is so very thick & sweet even if I try it in a frozen Margarita. I am sticking with the citrus one.,A little too thick & sweet,
1287,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-01-16T19:33:48Z,TRUE,,,It was so tasty. The bottle was gone way too early!,Mango,
1288,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-01-16T19:33:48Z,TRUE,,,Taste delicious. I even mixed with the ststrawberry.,Very good,
1289,Master of Mixes,"Master of Mixes Mango Daiquiri Margarita Mixer, 33.8 fl oz",2017-01-16T19:33:48Z,TRUE,,,"Follow directions, no more , no less. Perfect",Yummy,
1290,Angostura,Angostura Aromatic Bitters,2017-04-19T16:58:47Z,,,4,"This bitters taste good, but I knocked a star off because the artificial coloring in it stains surfaces. It's not a deal breaker, but I wish they didn't add the fake coloring.","Tastey, but Carmal Coloring and Added Colors",8.8 ounces
1291,Angostura,Angostura Aromatic Bitters,2017-04-19T16:58:47Z,,,5,Great for old fashions.,The original!,8.8 ounces
1292,Angostura,Angostura Aromatic Bitters,2017-04-19T16:58:47Z,,,5,It's one of the main ingradients in a 'Old Fashion'. Very tasty!,Makes a tasty Old Fashion cocktail!,8.8 ounces
1293,Angostura,Angostura Aromatic Bitters,2017-04-19T16:58:47Z,,,5,"Good product. The small bottle goes a long way, too.",Five Stars,8.8 ounces
1294,Angostura,Angostura Aromatic Bitters,2017-04-19T16:58:47Z,,,5,Just what I expected good product.,Five Stars,8.8 ounces
1295,Angostura,Angostura Aromatic Bitters,2017-04-19T16:58:47Z,,,5,Great turn around and it is exactly the way I expected.,Great turn around and it is exactly the way I ...,8.8 ounces
1296,Angostura,Angostura Aromatic Bitters,2017-04-19T16:58:47Z,,,4,it works,Four Stars,8.8 ounces
1297,Angostura,Angostura Aromatic Bitters,2017-04-19T16:58:47Z,,,5,Excellent as always,The Best,8.8 ounces
1298,Angostura,Angostura Aromatic Bitters,2017-04-19T16:58:47Z,,,5,This was exactly what I expected and it arrived quite quickly.,Five Stars,8.8 ounces
1299,Angostura,Angostura Aromatic Bitters,2017-04-19T16:58:47Z,,,5,"Exactly what's needed for my favorite cocktail, Whiskey Sour.",Whiskey Sour,8.8 ounces
1300,Master of Mixes,"Master of Mixes Sweet'n Sour Mixer, 1 L",2017-09-06T04:49:34Z,TRUE,7,5,"I am a whiskey sour lover, but imbibing only when out to dinner. Hubby suggested trying home. I was so happy to find this product my Walmart Supercenter! First, it's taste is great. Not much difference in taste from Mr. and Mrs. T's, which is slightly higher in price. Prior to purchasing Walmart, wasn't aware they carried mixers - foolish on my part - duh, they have everything! I was paying like 4.50 to 5.00 per bottle other stores. At Walmart, believe it or not, it is...........2.88!!!!!!! So I stocked up bought 3 bottles. They also have it in a lite version......sugar-free and I thought that would be great......not so. I drink suger-free pop, but this doesn't taste as good in the sugar-free version. So tomorrow I am going to exchange 2 of the bottles for the regular type. Hey, a few carbs here and there.....oh well! Love Walmart! I especially love that you have the ability to check the availability of the product online before treking out, especially since the mixer is pretty much only sold the Supercenters, and we have 4 within a 20 mile radius......but only one has it!",Great stuff!,10 Pounds
1301,Master of Mixes,"Master of Mixes Sweet'n Sour Mixer, 1 L",2017-09-06T04:49:34Z,TRUE,3,5,"Fantastic , especially mixed with Amaretto.","Cheapest anywhere , highly recommended.",10 Pounds
1302,Master of Mixes,"Master of Mixes Sweet'n Sour Mixer, 1 L",2017-09-06T04:49:34Z,TRUE,0,5,Best mix I have ever purchased/I buy it regularly,flavor is perfect,10 Pounds
1303,Master of Mixes,"Master of Mixes Sweet'n Sour Mixer, 1 L",2017-09-06T04:49:34Z,TRUE,0,5,Love this mix!,Great taste at a goo price!,10 Pounds
1304,Master of Mixes,"Master of Mixes Sweet'n Sour Mixer, 1 L",2017-09-06T04:49:34Z,TRUE,0,5,"I love the flavor and taste, great for amaretto sour",Good stuff,10 Pounds
1305,Master of Mixes,"Master of Mixes Sweet'n Sour Mixer, 1 L",2017-09-06T04:49:34Z,TRUE,0,5,I was happy with the price. I haven't used it yet.,Good price,10 Pounds
1306,Master of Mixes,"Master of Mixes Sweet'n Sour Mixer, 1 L",2017-09-06T04:49:34Z,TRUE,0,5,"Good for mixing cocktails, a little more sour than other brands, but not bad.",Sour,10 Pounds
1307,Master of Mixes,"Master of Mixes Sweet'n Sour Mixer, 1 L",2017-01-14T19:38:11Z,TRUE,,,Love this mix!,Great taste at a goo price!,10 Pounds
1308,Master of Mixes,"Master of Mixes Sweet'n Sour Mixer, 1 L",2017-01-14T19:38:11Z,TRUE,,,"I love the flavor and taste, great for amaretto sour",Good stuff,10 Pounds
1309,Master of Mixes,"Master of Mixes Sweet'n Sour Mixer, 1 L",2017-01-14T19:38:11Z,TRUE,,,"I am a whiskey sour lover, but imbibing only when out to dinner. Hubby suggested trying @ home. I was so happy to find this product @ my Walmart Supercenter! First, it's taste is great. Not much difference in taste from Mr. and Mrs. T's, which is slightly higher in price. Prior to purchasing @ Walmart, [wasn't aware they carried mixers - foolish on my part - duh, they have everything!] I was paying like $4.50 to $5.00 per bottle @ other stores. At Walmart, believe it or not, it is...........$2.88!!!!!!! So I stocked up & bought 3 bottles. They also have it in a ""lite"" version......sugar-free and I thought that would be great......not so. I drink suger-free pop, but this doesn't taste as good in the sugar-free version. So tomorrow I am going to exchange 2 of the bottles for the regular type. Hey, a few carbs here and there.....oh well! Love Walmart! I especially love that you have the ability to check the availability of the product online before treking out, especially since the mixer is pretty much only sold @ the Supercenters, and we have 4 within a 20 mile radius......but only one has it!",Great stuff!,10 Pounds
1310,Master of Mixes,"Master of Mixes Sweet'n Sour Mixer, 1 L",2017-01-14T19:38:11Z,TRUE,,,"Fantastic , especially mixed with Amaretto.","Cheapest anywhere , highly recommended.",10 Pounds
1311,Master of Mixes,"Master of Mixes Sweet'n Sour Mixer, 1 L",2017-01-14T19:38:11Z,TRUE,,,I was happy with the price. I haven't used it yet.,Good price,10 Pounds
1312,Master of Mixes,"Master of Mixes Sweet'n Sour Mixer, 1 L",2017-01-14T19:38:11Z,TRUE,,,"Good for mixing cocktails, a little more sour than other brands, but not bad.",Sour,10 Pounds
1313,Jim Beam,"Jim Beam White Bourbon, 375 mL",2017-09-20T01:18:35Z,,,5,The white label or the devil's cut dashed with some lemonade and lime cordial is how I enjoy my Jim.,It is the first drink I check everytime,
1314,Jim Beam,"Jim Beam White Bourbon, 375 mL",2017-09-20T01:18:35Z,,,5,Best Drink you can get,Yes I would buy again,
1315,Jim Beam,"Jim Beam White Bourbon, 375 mL",2017-09-20T01:18:35Z,,,4,to make manhattens,very reasonally priced,
1316,Jim Beam,"Jim Beam White Bourbon, 375 mL",2017-09-20T01:18:35Z,,,5,Best bourbon I have found...have toured distillery and love the brand..,One fine bourbon,
1317,Jim Beam,"Jim Beam White Bourbon, 375 mL",2017-09-20T01:18:35Z,,,5,Red Stag and Coke Zero is my go to drink. Only wish more bars and restaurants stocked it. Nothing like a good bourbon with a cherry kick !,Red Stag stands alone,
1318,Jim Beam,"Jim Beam White Bourbon, 375 mL",2017-09-20T01:18:35Z,,,5,I like it with dr.peper to sip and relax,Good taste,
1319,Jim Beam,"Jim Beam White Bourbon, 375 mL",2017-09-20T01:18:35Z,,,5,Better than the other's,The only whiskey I drink,
1320,Jim Beam,"Jim Beam White Bourbon, 375 mL",2017-09-20T01:18:35Z,,,5,Drank it for years and always smooth and tasty. Now it is running off the shelves at our liquor store.,Priced right and great quality,
1321,Jim Beam,"Jim Beam White Bourbon, 375 mL",2017-09-20T01:18:35Z,,,5,I keep Jim Beam on hand every day of the week.,Best bourbon on earth.,
1322,Jim Beam,"Jim Beam White Bourbon, 375 mL",2017-09-20T01:18:35Z,,,5,"I typically have this neat or with an ice cube. Its light amber appearance, sweet, woody, mossy nose, and its mild moss, white oak, mellow wintergreen mint, and dried, faintly-candied fruit flavor draws the drinker into an exploration of pin-point distilling execution. Jim Beam Original has a gradual finish, with a ghost of chocolate powder, during the fade out. Highly recommended. RJT",A Bourbon Legend,
1323,Jim Beam,"Jim Beam White Bourbon, 375 mL",2017-09-20T01:18:35Z,,,5,It's does have a great toaste to it the only drink I'll drink.,I would buy this drink over and over.,
1324,Jim Beam,"Jim Beam White Bourbon, 375 mL",2017-09-20T01:18:35Z,,,5,I had a neat 2 finger glass two weeks ago of JB Black label for the first time (I've always drank Jack Daniels) and I loved it! No more Jack for me!,Smooth,
1325,Jim Beam,"Jim Beam White Bourbon, 375 mL",2017-09-20T01:18:35Z,,,5,Best tasteing and defenetly the smoothest around I love it!,smoothy,
1326,Jim Beam,"Jim Beam White Bourbon, 375 mL",2017-09-20T01:18:35Z,,,5,I always keep a bottle of Jim Bean in my liquor cabinet. Value for price is incredible and it mixes great.,Always in my liquor cabinet,
1327,Sauza,"Sauza Signature Blue Silver Tequila, 1 L",2017-09-20T01:18:35Z,TRUE,,5,"When it comes to making perfect Margarita's, Sauza signature blue, my go to Tequila. Anchor Hocking 3212 18 oz. Goblet, frozen with a margarita salt rim. It doesn't get any better.",100 blue agave,
1328,Sauza,"Sauza Signature Blue Silver Tequila, 1 L",2017-09-20T01:18:35Z,,,5,"Let's face it, distilled alcohol products aren't health foods. But clear liquor products (vodka, gin, white rum, and silver tequila) contain less toxic wood solute byproducts (tannins and formaldehydes) than heavily-aged 'dark' liquors. Science aside, Sauza Signature Silver is a splendid treat and delightful to sip. The clean, crisp agave taste that makes tequila so special is front-and-center without the woody heaviness of darker tequilas. Tequila is an acquired taste, and Sauza Signature Blue is a taste worth acquiring...a taste to be savored.",Pure agave splendor without needless wood byproducts,
1329,Sauza,"Sauza Signature Blue Silver Tequila, 1 L",2017-09-20T01:18:35Z,,,5,Great mixed or on the Rocks!,Excellent Product,
1330,Clos Du Bois,"Clos du Bois Chardonnay Wine, 750 mL",2017-09-20T01:18:35Z,TRUE,,4,One of my go-to chardonnay wines for every-day enjoyment. Sam's has this well priced.,Very clean and light,
1331,MOGEN DAVID,"Mogen David Blackberry Wine, 1.5 L",2017-09-20T01:18:35Z,TRUE,2,5,This is my all time favorite wine. But i can not find it all the time. And only in one store. Would be great to be able to buy more than one at a time too. Hard to find the bigger bottle more than once a month. And rare in Blackberry most are Concord. ( good too!). I would love to be able to find this item in all of my local walmarts!!,Wish it was in the store more often.,
1332,Pinnacle,"Pinnacle Original Flavored Vodka, 1.0 L",2017-09-20T01:18:35Z,,,5,The whipped creme flavored vodka is fabulous. I keep it in the freezer and have a snifter of it when I want something smooth after dinner or as a night cap. Love it!,Pinnacle Whipped Bodka,
1333,Pinnacle,"Pinnacle Original Flavored Vodka, 1.0 L",2017-09-20T01:18:35Z,,,5,"I love this vodka, I have been drinking vodka for many years, and this is by far one of the best, and my favorite vodka. I drink it regularly, usually with grape juice, but also with orange juice. We use it to make daiquiris, and many other frozen concoctions.",I Love This Stuff !!!!,
1334,Pinnacle,"Pinnacle Original Flavored Vodka, 1.0 L",2017-09-20T01:18:35Z,,,2,with real coconut water or on the rocks .,brought two bottles yesterday,
1335,Jack Daniel's,"Jack Daniel's Winter Jack Whiskey, 750 mL",2017-09-20T01:18:35Z,TRUE,,5,Hard to find. Love it,Sooo good n mellow,
1336,DUPLIN,"Duplin Carolina Red Wine, 750 mL",2017-09-20T01:18:35Z,TRUE,0,5,A sweet smooth taste in every drop.,I love the sweet smooth muscadine taste.,2 pounds
1337,Jim Beam,"Jim Beam Apple Bourbon Whiskey, 100.0 ML",2017-09-20T01:18:35Z,,,5,It's delish! The only suggestion I have is to sell a bigger bottle with a handle.,The best,
1338,Jim Beam,"Jim Beam Apple Bourbon Whiskey, 100.0 ML",2017-09-20T01:18:35Z,,,5,I love everything about Jim Beam Apple... The taste is great and it goes down smooth! It's one of the best drinks out there with or without any added mixes....,I recommend this drink to everyone over the age of 21,
1339,Jim Beam,"Jim Beam Apple Bourbon Whiskey, 100.0 ML",2017-09-20T01:18:35Z,,,5,"I was hesitant to buy Jim Beam Apple, after trying other apple whiskeys, but I was not disappointed! It's so smooth, light and fruity. Very good!",Fantastic,
1340,Jim Beam,"Jim Beam Apple Bourbon Whiskey, 100.0 ML",2017-09-20T01:18:35Z,,,3,"Very smooth, but very sweet. I would like to know how much sugar is added...",Sweet and smooth.,
1341,Jim Beam,"Jim Beam Apple Bourbon Whiskey, 100.0 ML",2017-09-20T01:18:35Z,,,5,"I mix the Jim Beam apple with a little ginger ale, it is a great summer refreshment.",Surprising and refreshing,
1342,Jim Beam,"Jim Beam Apple Bourbon Whiskey, 100.0 ML",2017-09-20T01:18:35Z,,,5,It makes the greatest apple bourbon martini,I will buy this product again,
1343,Jim Beam,"Jim Beam Apple Bourbon Whiskey, 100.0 ML",2017-09-20T01:18:35Z,,,5,Outstanding. Smooth. Easy to drink,I would buy this again,
1344,Jim Beam,"Jim Beam Apple Bourbon Whiskey, 100.0 ML",2017-09-20T01:18:35Z,,,5,The apple Jim Beam is the bomb it's smooth no chaser needed I am hooked.,I love the Apple,
1345,Jim Beam,"Jim Beam Apple Bourbon Whiskey, 100.0 ML",2017-09-20T01:18:35Z,,,5,This is a great tasting refreshing drink,I love the flavor and quenches my thirst,
1346,Jose Cuervo,Jose Cuervo174 Original Margarita Mix - 1.75l Bottle,2017-09-23T02:53:08Z,TRUE,1,5,Great Taste. Great color. This is the only mixer I'll use.,I love this mixer,4.44 lbs
1347,Jose Cuervo,Jose Cuervo174 Original Margarita Mix - 1.75l Bottle,2017-09-23T02:53:08Z,TRUE,0,5,This margarita mixer is standard for mixing good drinks!,Good stuff!,4.44 lbs
1348,Jose Cuervo,Jose Cuervo174 Original Margarita Mix - 1.75l Bottle,2017-09-23T02:53:08Z,TRUE,0,5,If you mix per the directions it makes a great margarita.,Great Margarita,4.44 lbs
1349,Jose Cuervo,Jose Cuervo174 Original Margarita Mix - 1.75l Bottle,2017-09-23T02:53:08Z,TRUE,0,5,By far the best mix out there for classic Margaritas to enjoy during the summer months.,Margarita,4.44 lbs
1350,Jose Cuervo,Jose Cuervo174 Original Margarita Mix - 1.75l Bottle,2017-09-23T02:53:08Z,TRUE,0,5,Not too sweet or tart. Makes the best margarita we've had,Our favorite by far,4.44 lbs
1351,Jose Cuervo,Jose Cuervo174 Mango Margarita Mix - 1.75l Bottle,2017-09-06T04:49:34Z,TRUE,1,5,This is a wonderful change of pace if you like Margaritas. You will not be sorry you've given it a try!,Mango Margarita mix,4.0 lbs
1352,Jose Cuervo,Jose Cuervo174 Mango Margarita Mix - 1.75l Bottle,2017-09-06T04:49:34Z,TRUE,1,5,I bought this for an afternoon with friends and it was super refreshing. Really liked the quality of the mix.,Super refreshing!,4.0 lbs
1353,Jose Cuervo,Jose Cuervo174 Mango Margarita Mix - 1.75l Bottle,2017-09-06T04:49:34Z,TRUE,1,5,Make sure you use crushed ice. Little to sweet on the rocks.,Smooth,4.0 lbs
1354,Jose Cuervo,Jose Cuervo174 Mango Margarita Mix - 1.75l Bottle,2017-09-06T04:49:34Z,TRUE,1,5,New flavor same great product,Very good,4.0 lbs
1355,Jose Cuervo,Jose Cuervo174 Mango Margarita Mix - 1.75l Bottle,2017-09-06T04:49:34Z,TRUE,1,3,Pretty good for a quickie,Drink mix,4.0 lbs
1356,Jose Cuervo,Jose Cuervo174 Mango Margarita Mix - 1.75l Bottle,2017-09-06T04:49:34Z,TRUE,0,4,Not as tasty as fresh made but still tasty and very convenient to have in your pantry especially with the holidays coming up.,Great taste,4.0 lbs
1357,Jose Cuervo,Jose Cuervo174 Mango Margarita Mix - 1.75l Bottle,2017-09-06T04:49:34Z,TRUE,0,5,Cheapest price on the internet and with free shipping you can't go wrong.,Great mix at a great price!,4.0 lbs
1358,Blue Moon,Blue Moon® Belgian White Belgian-Style Wheat Ale 24-12 fl. oz. Bottles,2017-09-20T01:18:35Z,TRUE,,5,"Great price for a great beer, ordered online, then picked it right up!",Great price,
1359,Master of Mixes,"Master of Mixes Cosmopolitan Martini Mixer, 33.8 fl oz",2017-09-02T07:55:36Z,FALSE,0,2,"I usually make my own cosmos, but thought is would be quicker to use a mix. Bad Idea. This particular flavor was soooo sweet. I had to keep adding lime to it to temper the sicky-sweetness. If you like sweet then this is for you. Does not taste like a true cosmo with their recipe.",Way tooooo Sweet,2.42 lbs
1360,Master of Mixes,"Master of Mixes Cosmopolitan Martini Mixer, 33.8 fl oz",2017-09-02T07:55:36Z,TRUE,0,5,Lucky,Great product,2.42 lbs
1361,Master of Mixes,"Master of Mixes Cosmopolitan Martini Mixer, 33.8 fl oz",2017-09-02T07:55:36Z,TRUE,0,4,Tasty and convenient to have on hand. Not as good as fresh juice but still pretty good.,Not bad mix,2.42 lbs
1362,CRA-Z-ART,Cra-Z-Art Sidewalk Chalk,2017-07-11T20:52:17Z,TRUE,0,3,"This chalk is nice and sturdy, even for a rowdy 2 year old!",For the grandkids...,
1363,CRA-Z-ART,Cra-Z-Art Sidewalk Chalk,2017-07-11T20:52:17Z,FALSE,0,1,These chalk are cheap but I guess you get what you pay for because they don't write well. :-/,Hard to Write With,
1364,Margaritaville,"Margaritaville Mango Margarita Cocktail Mix, 33.8 oz ()",2017-06-09T18:31:57Z,TRUE,2,5,"This is, BY FAR, the best tasting Mango Margarita Mix on the market. Perfect for on the rocks. All other brands are thick......almost like a puree, which is not good for a margarita on the rocks. That stuff is more for frozen daiquiris. This is the same consistency as any regular margarita mix. Perfect.",The Best,
1365,Margaritaville,"Margaritaville Mango Margarita Cocktail Mix, 33.8 oz ()",2017-06-09T18:31:57Z,TRUE,0,5,We love it but can't seem to find anywhere my wife was tickled to death to find it.,Margaritaville Mango Cocktail mix,
1366,Master of Mixes,"Master Of Mixes Mango Daiquiri/Margarita Mixer, 33.8 oz ()",2017-09-06T04:49:34Z,TRUE,2,5,"I really enjoyed its taste and price, best mixer I have ever tasted.",Great Product....!!!,
